"Abyss Gaming, LLC",2013-10-03,3
bitClass,2013-10-03,5
Yourcles.com,2013-10-03,3
RTL Management,2013-10-03,5
BitCoin Enabling Video and Gaming,2013-10-03,6
Wazza,2013-10-02,1
Imaginary Computer,2013-10-02,4
Back Row Sports,2013-10-02,2
Astuceclub,2013-10-02,3
2Coders,2013-10-02,1
2d geek,2013-10-02,2
the Brick Box Studio,2013-10-02,2
Ownits,2013-10-01,2
Polymorph,2013-10-01,2
"Copingo, Inc.",2013-10-01,2
Luckyprice,2013-10-01,10
BetBoost,2013-10-01,3
GAMRS.net,2013-09-30,1
Koinup,2013-09-30,2
Popcorn Games,2013-09-30,4
Animus Interactive LLC,2013-09-30,2
MoreGames,2013-09-30,2
BlackPunch Studio,2013-09-30,6
SportsNutzz,2013-09-29,3
MyLeague ,2013-09-29,5
Tap My Back,2013-09-28,4
Dinosaur  Games,2013-09-27,3
Dynasty Sports and Gaming LLC,2013-09-27,3
The Brothers Lewis,2013-09-26,2
Syncalike.com,2013-09-26,4
Ntice,2013-09-26,5
Oobat,2013-09-26,1
BinaryBeast,2013-09-26,7
E Marketing Map Generator (EMMG),2013-09-26,4
Reaction Games,2013-09-25,5
Miscellaneum Studios,2013-09-25,3
PRESTIGE OPTICAL MASTERING ,2013-09-25,1
Bigglesworth Studios,2013-09-25,3
TribeMind,2013-09-24,1
GetGetOne,2013-09-23,1
Plumbee,2013-09-23,3
Rocket Alien,2013-09-23,2
FoodieQuest,2013-09-23,3
Wulfengame,2013-09-22,1
PixelOxygen,2013-09-22,2
Puzzling Ideas,2013-09-21,2
Ncite Factory,2013-09-20,2
Benmari,2013-09-20,3
Game Day Ready,2013-09-20,2
Everyplay,2013-09-19,8
Nuggeta,2013-09-19,16
Panopticon Labs,2013-09-19,10
Sociallgreen,2013-09-19,12
Playerking,2013-09-18,5
Social Token,2013-09-17,1
Social Token,2013-09-17,2
Social Arcade ,2013-09-17,8
Gamerstrike,2013-09-17,1
"OneLIVE, Inc.",2013-09-17,3
Jeremias (Silentsss) Stelter,2013-09-16,1
SS Games,2013-09-14,3
SS Games,2013-09-14,3
Ideas In Motion Entertainment,2013-09-14,1
Lottery Popcorn,2013-09-13,1
SKARA - The Blade Remains,2013-09-12,12
FunBills,2013-09-11,2
MP Mimic Productions GmbH,2013-09-11,3
KrazyLazY,2013-09-11,1
BetFlock,2013-09-10,7
Socialmon,2013-09-10,5
Nuukster,2013-09-10,2
Austral 3D,2013-09-09,68
Savage Gamers,2013-09-09,2
Handelabra Games Inc.,2013-09-09,6
Stolen Couch Games,2013-09-09,11
Tic Tap Toe,2013-09-09,2
FS-1,2013-09-09,3
Zeppelin Game Studio,2013-09-08,4
MXD 3D - Mixed Dimensions Inc,2013-09-08,38
KptnCook,2013-09-07,9
Betchyu,2013-09-07,6
Betapp,2013-09-07,4
Chido Games,2013-09-07,14
Arthawk Entertainment Inc.,2013-09-07,13
Fun Practice Chinese,2013-09-06,2
99 minutos,2013-09-06,16
Bongo Studios,2013-09-06,8
Chukles,2013-09-06,6
OzCampus,2013-09-05,1
Playtox,2013-09-05,3
"Crazy Cricket, LLC",2013-09-05,5
MeterSteiner,2013-09-05,4
Playlab London,2013-09-05,9
Peekawoo,2013-09-05,16
Lumentech,2013-09-04,1
Every1Games,2013-09-04,4
Lookz (Loo.kz),2013-09-04,3
Gosu Group,2013-09-04,2
Orb Interactive,2013-09-03,4
8 BitFit,2013-09-03,4
Prehistoric Software,2013-09-03,2
Conjectur,2013-09-03,3
tinyBuild GAMES,2013-09-02,5
Ice Water Productions,2013-09-02,1
Meraki Tech,2013-09-02,5
Serious Factory,2013-09-02,2
lusomusic,2013-09-02,3
ShepHertz,2013-09-02,13
Dai Di Ltd.,2013-09-02,1
Naow,2013-08-31,22
Beat Your Record ,2013-08-30,13
Die Noobs,2013-08-30,1
Pipeline49 Technology Group,2013-08-30,1
Facebook Gomoku Online,2013-08-29,3
Fameclaim ,2013-08-29,2
SpeedLight,2013-08-29,2
Shipster,2013-08-29,132
Exosphere Labs,2013-08-29,1
SPARQ,2013-08-28,4
ReignDesign,2013-08-28,2
GAMEPREZ,2013-08-28,1
Chess Live,2013-08-27,2
MRMSTYLE,2013-08-27,2
Meo Beo,2013-08-26,3
Silvermile,2013-08-25,8
Forif,2013-08-25,3
